aX,aY,aZ,gX,gY,gZ
0.461,-0.858,-0.316,-0.610,-1.343,0.977
0.455,-0.870,-0.307,0.366,-0.732,0.610
0.452,-0.867,-0.297,0.244,0.427,-0.549
0.456,-0.869,-0.286,-1.038,1.282,-2.502
0.467,-0.873,-0.291,-3.113,1.587,-4.272
0.470,-0.864,-0.291,-5.005,0.732,-5.127
0.467,-0.858,-0.291,-6.226,-0.488,-5.859
0.466,-0.850,-0.299,-6.714,-1.221,-6.287
0.479,-0.838,-0.312,-6.226,-1.587,-5.798
0.479,-0.818,-0.310,-4.517,-1.953,-3.845
0.468,-0.813,-0.305,-2.625,-1.892,-2.136
0.466,-0.821,-0.301,-1.038,-1.282,-0.305
0.470,-0.835,-0.304,0.000,0.000,0.610
0.473,-0.846,-0.293,0.549,1.160,0.977
0.475,-0.854,-0.284,0.366,2.930,1.099
0.482,-0.860,-0.277,0.000,4.395,1.221
0.484,-0.871,-0.264,-0.427,5.005,0.671
0.489,-0.881,-0.260,-0.549,5.005,-0.183
0.490,-0.883,-0.261,-0.977,4.395,-1.770
0.494,-0.881,-0.259,-1.465,2.747,-3.906
0.492,-0.874,-0.259,-1.648,0.610,-5.127
0.493,-0.870,-0.269,-1.770,-1.160,-5.615
0.489,-0.865,-0.277,-2.258,-2.869,-5.005
0.479,-0.864,-0.282,-2.869,-4.089,-3.784
0.473,-0.862,-0.291,-3.052,-4.639,-2.930
0.471,-0.865,-0.302,-3.174,-4.700,-2.258
0.464,-0.869,-0.301,-2.930,-4.639,-1.160
0.452,-0.868,-0.301,-2.380,-4.089,0.061
0.454,-0.870,-0.306,-2.319,-2.808,0.061
0.458,-0.872,-0.306,-2.625,-1.709,-0.732
0.459,-0.874,-0.304,-2.319,-1.160,-1.160
0.457,-0.872,-0.305,-1.892,-0.854,-1.587
0.461,-0.870,-0.306,-1.709,-0.488,-2.502
0.464,-0.869,-0.305,-1.526,-0.732,-3.357
0.467,-0.867,-0.303,-1.831,-1.221,-4.211
0.465,-0.863,-0.302,-1.953,-1.465,-4.456
0.460,-0.867,-0.298,-2.136,-1.465,-4.089
0.455,-0.875,-0.300,-2.136,-1.343,-3.723
0.454,-0.883,-0.301,-1.770,-0.549,-3.235
0.452,-0.887,-0.301,-1.099,0.732,-2.808
0.456,-0.891,-0.302,-0.427,1.343,-2.686
0.455,-0.892,-0.296,0.305,1.282,-2.808
