aX,aY,aZ,gX,gY,gZ
0.063,0.151,1.378,-94.604,25.452,-56.885
0.078,0.226,1.049,-117.310,39.795,-52.002
0.063,0.207,0.865,-133.057,31.494,-50.720
0.022,0.152,0.887,-136.169,3.357,-53.101
-0.029,-0.011,1.012,-130.249,-29.602,-54.871
-0.032,-0.109,1.282,-119.446,-57.312,-53.650
-0.009,-0.255,1.482,-99.548,-71.533,-53.223
-0.034,-0.322,1.598,-76.477,-70.007,-50.232
-0.078,0.895,2.758,-119.873,-38.391,-59.326
-0.199,-0.410,2.327,-217.407,57.556,-85.693
-0.482,-1.231,1.913,-125.671,98.450,-44.312
-0.193,-0.665,1.715,-77.332,57.556,-6.104
0.299,-0.245,1.274,-24.902,31.128,23.743
0.458,0.149,0.360,22.339,17.273,24.963
0.276,0.111,0.172,76.477,-25.696,1.038
0.399,-0.292,0.525,72.510,-71.655,-23.621
0.561,-0.365,0.800,12.939,-60.974,-19.531
0.525,-0.462,0.844,-9.888,-26.367,-10.559
0.413,-0.590,0.759,-16.541,-3.906,-10.803
0.416,-0.631,0.717,-19.531,2.197,-8.911
0.471,-0.618,0.735,-19.104,1.526,-7.324
0.479,-0.652,0.807,-12.878,-0.183,-9.338
0.475,-0.685,0.839,-7.812,2.441,-11.841
0.465,-0.680,0.778,-9.399,9.705,-10.498
0.478,-0.618,0.656,-15.686,16.785,-7.568
0.496,-0.555,0.544,-20.813,18.188,-5.798
0.483,-0.545,0.499,-25.635,13.123,-6.226
0.501,-0.547,0.529,-30.273,5.371,-6.836
0.507,-0.540,0.552,-32.532,-1.221,-5.920
0.489,-0.521,0.602,-35.034,-5.005,-5.310
0.500,-0.532,0.662,-38.086,-5.432,-4.761
0.494,-0.538,0.718,-39.978,-6.592,-2.441
0.479,-0.510,0.773,-39.856,-6.897,-0.244
0.450,-0.513,0.801,-39.673,-5.432,1.160
0.433,-0.505,0.848,-41.016,-4.944,2.441
0.442,-0.483,0.876,-38.513,-6.592,4.028
0.462,-0.472,0.908,-30.701,-8.667,3.540
0.488,-0.458,0.906,-21.851,-8.728,3.723
0.530,-0.424,0.880,-16.907,-5.859,4.944
0.585,-0.392,0.854,-14.160,-2.930,5.493
0.592,-0.368,0.828,-11.536,1.343,4.517
0.580,-0.356,0.785,-11.780,5.310,2.808
0.566,-0.360,0.771,-15.442,7.141,1.587
0.536,-0.382,0.793,-19.226,4.822,0.671
0.520,-0.402,0.844,-19.104,-0.977,-0.244
0.523,-0.400,0.887,-16.663,-5.981,-0.671
0.534,-0.378,0.902,-14.160,-6.653,-0.732
0.528,-0.349,0.911,-13.184,-4.333,-2.075
0.522,-0.363,0.902,-13.733,-0.061,-4.333
0.508,-0.381,0.890,-14.282,4.150,-6.042
0.500,-0.375,0.870,-13.794,8.240,-6.714
0.476,-0.391,0.842,-12.817,11.353,-7.629
0.457,-0.408,0.826,-12.268,12.207,-8.362
0.444,-0.409,0.811,-11.536,11.475,-8.362
0.431,-0.399,0.792,-10.376,9.644,-8.057
0.412,-0.414,0.782,-10.132,6.897,-7.507
0.417,-0.420,0.794,-10.193,5.127,-7.202
0.407,-0.425,0.795,-8.789,4.028,-7.019
0.394,-0.442,0.768,-7.385,3.113,-5.676
0.383,-0.445,0.764,-7.935,3.052,-4.028
0.388,-0.445,0.770,-6.714,1.282,-1.953
0.403,-0.422,0.780,-3.296,-2.197,-0.366
0.422,-0.404,0.788,0.000,-4.578,0.122
0.435,-0.378,0.803,0.000,-5.127,0.610
0.458,-0.363,0.816,-2.563,-4.150,1.221
0.475,-0.347,0.835,-4.333,-2.686,1.038
0.475,-0.347,0.840,-4.944,-1.160,0.488
0.498,-0.357,0.835,-6.165,1.892,-1.221
0.519,-0.335,0.824,-6.714,4.272,-1.465
0.513,-0.341,0.806,-5.859,5.554,-2.319
0.511,-0.364,0.808,-5.493,6.897,-4.333
0.501,-0.371,0.824,-6.409,7.935,-5.066
0.497,-0.383,0.827,-6.348,8.240,-5.676
0.473,-0.372,0.810,-5.310,7.996,-5.615
0.449,-0.375,0.823,-5.981,6.714,-5.432
0.443,-0.399,0.874,-6.348,4.089,-5.615
0.433,-0.413,0.909,-3.540,2.258,-5.493
0.440,-0.394,0.900,-1.038,3.662,-4.761
0.454,-0.351,0.877,-0.488,6.958,-4.211
0.467,-0.348,0.867,0.122,9.644,-5.249
0.468,-0.375,0.867,-0.122,12.146,-6.409
0.481,-0.382,0.855,-1.343,15.564,-6.042
0.492,-0.390,0.809,-1.770,18.005,-5.920
0.485,-0.398,0.746,-0.732,17.883,-6.042
0.490,-0.375,0.694,-0.488,13.855,-5.005
0.490,-0.364,0.678,-1.160,7.690,-3.540
-0.269,0.306,-3.038,-258.484,-61.584,92.651
-0.300,0.403,-2.904,-271.545,-97.290,96.863
-0.309,0.492,-2.756,-286.987,-131.042,104.309
-0.286,0.609,-2.562,-305.176,-158.569,113.220
-0.238,0.713,-2.385,-323.425,-178.711,118.958
-0.247,0.848,-2.146,-339.722,-196.655,124.512
-0.208,0.916,-1.956,-356.018,-211.609,127.075
-0.192,0.978,-1.755,-372.498,-223.145,128.784
-0.150,1.053,-1.564,-387.878,-233.948,130.066
-0.131,1.105,-1.367,-398.621,-248.352,129.028
-0.128,1.128,-1.164,-403.870,-265.625,123.657
-0.142,1.146,-0.960,-404.236,-284.241,118.225
-0.114,1.236,-0.727,-398.682,-305.847,114.563
-0.092,1.287,-0.489,-385.864,-329.529,102.783
-0.109,1.268,-0.260,-368.591,-350.525,84.106
-0.122,1.267,-0.025,-355.713,-365.906,67.017
-0.118,1.273,0.230,-350.342,-374.512,50.964
-0.136,1.257,0.516,-348.267,-374.878,33.569
-0.110,1.221,0.859,-343.994,-370.361,12.939
-0.169,1.072,1.266,-334.229,-360.657,-9.888
-0.202,0.851,1.604,-322.754,-334.351,-28.442
-0.187,0.678,1.835,-314.392,-293.823,-34.973
-0.209,0.606,2.026,-307.861,-246.399,-34.424
-0.274,0.542,2.099,-302.612,-197.815,-33.325
-0.301,0.493,2.142,-294.128,-160.034,-32.593
-0.265,0.447,2.189,-276.123,-137.695,-31.738
-0.240,0.383,2.253,-244.446,-122.742,-35.217
-0.152,0.281,2.249,-201.660,-109.131,-39.856
-0.089,0.283,2.122,-161.987,-89.111,-41.565
-0.096,0.396,1.913,-138.428,-60.364,-39.368
