aX,aY,aZ,gX,gY,gZ
1.664,-1.809,1.508,-273.193,-14.832,312.012
1.656,-2.075,1.739,-333.740,-15.991,258.972
1.687,-2.308,1.585,-352.844,-10.620,229.187
1.496,-2.696,1.630,-331.238,-7.019,210.876
1.396,-2.720,1.489,-283.569,2.380,218.689
1.229,-2.719,1.281,-214.905,10.193,235.474
1.123,-2.626,1.092,-147.522,16.663,244.080
0.989,-2.509,0.986,-96.924,23.499,240.967
0.861,-2.397,0.831,-64.026,33.691,224.854
0.592,-2.300,0.917,-43.823,38.025,195.984
0.686,-2.239,0.697,-34.241,41.870,156.250
0.454,-2.088,0.790,-38.452,50.110,117.249
0.309,-2.171,0.913,-35.767,36.194,66.040
0.346,-1.926,0.842,-45.654,33.264,30.334
0.278,-1.744,0.848,-45.349,35.034,5.066
0.216,-1.529,0.852,-43.335,35.339,-11.353
0.222,-1.354,0.857,-38.208,30.762,-17.090
0.255,-1.200,0.821,-32.349,22.766,-14.954
0.306,-1.074,0.752,-26.123,15.564,-8.240
0.351,-1.017,0.719,-18.677,9.521,0.122
0.424,-1.029,0.665,-10.925,7.324,9.338
0.436,-1.029,0.634,-3.357,6.165,18.982
0.473,-1.083,0.623,5.310,4.150,25.024
0.510,-1.095,0.589,10.193,2.930,25.513
0.496,-1.097,0.527,12.817,0.366,21.423
0.520,-1.043,0.515,11.597,-1.892,13.794
0.528,-0.993,0.461,7.202,-0.671,3.540
0.511,-0.951,0.498,2.380,0.000,-6.409
0.499,-0.913,0.492,-1.587,0.854,-13.245
0.481,-0.881,0.526,-2.930,0.671,-18.311
0.476,-0.807,0.517,-1.648,-0.488,-19.226
0.463,-0.751,0.519,0.549,-1.709,-18.250
0.462,-0.723,0.508,2.808,-2.747,-17.273
0.474,-0.699,0.507,4.272,-2.502,-14.343
0.488,-0.700,0.496,6.897,-1.099,-10.559
0.489,-0.716,0.489,10.010,0.671,-6.897
0.462,-0.712,0.478,13.550,1.648,-4.211
0.502,-0.740,0.466,17.700,1.587,-2.563
0.499,-0.737,0.477,20.325,1.038,-1.404
0.483,-0.724,0.458,21.851,3.052,-1.770
0.482,-0.727,0.472,22.949,3.723,-4.089
